@relation tweetSentiment

@attribute Sentiment {positive,neutral,negative,irrelevant}
@attribute TweetText string

@data
neutral,'OH Sales guy BestBuy Im not selling or using any apple products during my mourning period over Jobs passing hmmm'
irrelevant,'msn  quase ninguem  facebook parado geral despedindo  twitter geral ralando S'
negative,'apple u guys are gay'
irrelevant,'Microsoft Technology Summit  Rusza druga edycja programu Twoja firma  Twoja szansa na sukces  httptcoveoD microsoft'
neutral,'Win an Apple iPod Touch from Mommygaga  get the Pampers Hello World Baby Memories App httptcogUofuz PampersHelloApps'
neutral,'Dear Microsoft  seize the moment  focus on developing Windows phones for enterprise solutions Succeed where RIM is failing'
irrelevant,'interface a voir en rel pour juger  sinon ice cream sandwich est simplement monstrueux  nexusprime google ICS'
neutral,'DREALRogers BE SLEEP N WHO NOEZ WHERE I BE BUT HOW ITs it U so called sleep but every  sec u got a new twitter post up btfu'
positive,'RT spacecanard Todays the Day ICS lt android google samsung'
neutral,'Google confirms Nexus S will get IceCreamSandwich  for real this time Gingerbread devices  too httptcoapLjTsk via engadget'
positive,'Love ios Easter eggs Pull down from middle top to bottom and see what pulls down Awesome little feature apple lovemyiphone'
positive,'you are so blessed apple'
neutral,'garbage Welcome to Twitter'
irrelevant,'TeamFollowBack TFB MustFollow MF FollowNow FN FollowFriday FF IFB Twitter Follow AmandaDGAF'
negative,'google is really confusing'
neutral,'RT MizzSpicey Now tuned in to httptcoDYMDmUz with deejaydenco WorldWide Twitter Facebook join me RT'
neutral,'dwtalker thats some tough competition right there httptcoXPLhjpR TechWar Google Facebook Apple Amazon'
positive,'GReader Share Five Reasons Why Google is Winning the War in Photosharing  httptcocoQCLbR  photography fotografia google'
irrelevant,'Samsung Galaxy Nexus  Google Android ICS  httptcouViMWl galaxynexus galaxynexus'
neutral,'RT ajrogers Purdie Rogers tribute to SteveJobs and apple We spray painted the Macintosh Plus w httptcooMXjhZh'
irrelevant,'LucindaDouglas Ja mooi he Lucinda  dat doet Microsoft goed Blijk van waardering en daarmee verwachtingovertreffen'
neutral,'Microsoft excludes tablets from its holiday advertising push httptcokPslZjFC'
irrelevant,'RT twandroid Prise de photo quasi instantanne ouaaaaaaahhhhh google nexusprime'
irrelevant,'Pao ah bueno jeje ta bn ps aqui fb y twitter  jeje x cierto ya no me sta siguiendo vdd  ahorita vi mis seguidores y no sta'
neutral,'Microsoft turns your body into a touchscreen httptcoYENZy Microsoft'
neutral,'time to change my twitter app  whats the best one for my iphone Help please twitterapps  twitter vs tweetcaster vs ubersoical '
neutral,'Win an Apple iPod Touch from Mommygaga  get the Pampers Hello World Baby Memories App httptcoYUydxot PampersHelloApps'
neutral,'I just installed the new Twidroyd for Twitter on my Android Phone  Its Free  give it a try httptcoeKhJmGp'
irrelevant,'Microsoft lanza OmniTouch  httptcoUkxNzpyQ'
irrelevant,'Sex Games httptcoqtmLHJn JaylaStarr JCannonDSD sex Twitter video'
irrelevant,'RT twandroid Widgets scrollables comme sur Honeycomb google nexusprime'
neutral,'Yahoo Profit Drops  Per Cent httptcoAdGHss yahoo microsoft'
positive,' I think I should work for MelaleucaTheWellnessCompany  Probably the best company to work for  oh and Google'
neutral,'Hey Apple  need more servers for Siri traffic  Im sure Google can help you out with that'
irrelevant,'twitter detik Mengaku Masih Baru di Kabinet  Cicip Baru Siapkan Program Pekan Depan httptcoYyOaRiN'
neutral,'Apple  I asked Siri if she swallowed she relied Lets see  wtf do i do now wank over my phone'
neutral,'Minority Reportesque interface developed by Microsoft Research and Carnegie Mellon University httptcoyqEKDzg via Digg'
neutral,'TwitterOFF  GN'
irrelevant,'RT RT EvelineHorbach Terug van evaluatie learning circles bij microsoft onder bezielend leiderschap van httptcoapoUNhb'
irrelevant,'Blog Krokers Look  IT Der AppleSchock im PCMarkt  mit unerwartetem Potenzial fr Microsoft gt httptcovCUgQz'
irrelevant,'Ala tengo a twitter asi o mas abandonado '
irrelevant,'RT twandroid Possibilit de taguer les personnes google nexusprime'
negative,'dear google  samsung learn some presentation  first please'
irrelevant,'Workshop med technet idag Interessant citrix Microsoft  SYSIKT'
neutral,'Early cloud Microsoft partners will be rewarded w a Cloud Accelerate badge   additional internal use rights httptcopjkyfgf'
neutral,'Stay young  stay foolish But take ownership when u fck up  dont complain  and never give up resilience apple'
neutral,'Windows Phone Tango and Apollo rumors suggest new screen specs'
neutral,'quick hands on Galaxy Nexus by Samsung google android ICS  icecreamsandwich httptcocFmd'
negative,'httptcozBLtZMW German Federal Trojans got a BigBrother Gov spying on its people  Microsofts bitbit Windows is target'
positive,'Apple Safari Reader owns the worldwide web'
neutral,'Sdk available now  so you can develop apps for the phone and tablets right now Android Google'
neutral,'RT FierceWireless Microsofts Ballmer promises Nokia Windows phones next week  slams Android  httptcoOHBtue WP Window'
irrelevant,'Phone   httptcoSFBLWqjg LK Google  Samsung  Galaxy Nexus httptcoMyIcSKXW ICS'
negative,'Ouch  crash and burn Android facial recognition in IceCreamSandwich didnt work during the presentation httptcovsasZyT Google'
neutral,'RTzZzZzZzZzZzZzZzZzZzZ Twitter off'
neutral,'google IceCreamSandwich Samsung Updates Android  '
neutral,'RT elishiawindfohr Twitter Each second there are  new tweets  for a total of  million per day and  billion per month Rate '
neutral,'Twitter Im coming home Im coming home tell the world that Im coming home lls'
irrelevant,'rmeneghelo Google ainda te ama apesar de tudo IUEHAIUAHEIUHAEIUH P correo ainda te AMO'
irrelevant,'csportsmn android ios pulse google galaxy fringe ajildavna nexus ics'
neutral,'Ohemgee Be a follower twitter'
irrelevant,'YeseniaRivero puxi losiento deverdad q toy medio alejadoo de twitter pero pronto estare al dia cuidate muxo besitos a distancia bay'
negative,'why the fuck dose my phone decide its just ganna freeze every time i try to update it so fucking sick of apple'
neutral,'Microsoft Pushing out Mango to more Windows Phones httptcoxPIaZXp wp orange samsung lg optimus htc dell msft'
irrelevant,'Avec OmniTouch  faites de nimporte quelle surface un cran tactile httptcokBPkTt Microsoft OmniTouch'
irrelevant,'RT arelance Microsoft presenta un prototipo que permite utilizar la mano como interfaz httptcokaCzpMYo Kinect in fb'
neutral,'apple so why is the ios support for nd gen ipods discontinued It is only  years old Give us an ios update please'
irrelevant,'Hasta el queque de tarea pero heme aqui en twitter y FB jijijiji ya falta menos para terminar thanksGod'
irrelevant,'IsabelSalazarJ PremiosTWCo y en el HT Twitter eres tambn cabeza con  votos Isa  tienes lo votos regados con HT yovotopor tienes '
negative,'It took apple about  years just to figure out how to properly syncronize an iPhone  WOW  ios'
neutral,'Unwrapping Ice Cream Sandwich on the Galaxy Nexus httptcoQoXdIs google'
neutral,'Texas Instruments confirms Galaxy Nexus has newer OMAP processor httptcowqQVlyu google googlenexus'
neutral,'Followme dijo Twitter D'
positive,'Awesome Microsoft  holodeck bitlyqpGxle'
neutral,'I really dnt like to follow people who never on twitter'
irrelevant,'Mukesh Ambani MukeshAmbani  Mukesh Ambani httptcouMBGXvQI google youtube'
irrelevant,' RT AlbertLorente En Espaa  se pasa ms tiempo en sites de Microsoft que en Facebook y en sites de Google httptcocjNWUrv'
irrelevant,'Reflex Online is nu ook beschikbaar op Microsoft Marketplace Meer hierover op ons blog httptcoOZkelPhS'
irrelevant,'i like big glutus  i cannot lie'
negative,'Apple would do better to inform customers properly about migrating to iCloud  many complaints lead to image damage httptcoQLzmPpO'
neutral,'Samsung Galaxy Nexus smartphone  Android  Ice Cream Sandwich unveiled by Google httptcondsBej BT'
neutral,'What does it take to get a job at Google recruiting httptcoeVjiHoD'
neutral,'Reviora can host Microsoft Dynamics SL MSDYNERP  httptcoWFoopXY'
neutral,'Microsoft Cloud windowsserver  RT WesleyBackelant Announcing the Microsoft  WindowsAzure  Wesle httptcoNaPViOT TCN'
positive,'I just realized that the reason I got into twitter was ios thanks apple'
irrelevant,'RT twandroid SDK dispo aujourdhui google nexusprime'
neutral,'Android  OS Ice Cream Sandwich and the Galaxy Nexus is outseems that smartphones are named by hungry developers  Google'
neutral,'Microsofts First Global MultiProduct Holiday Campaign  httptconUFdiBN'
neutral,'thinking thinking thinking thinking dotnet asp microsoft'
neutral,'Is Google Flight Search a threat to the OTA and travel Meta Search market in India Check httptcoRuhglJMt News'
negative,'Comp crash Microsoft  Wouldnt get this with an iMac '
neutral,'iTaylorSimpson u post on twitter to much like ery  sec Damn'
positive,'TheMarketaire This whole Facebook change makes more nervous than excited What about privacy  etc I much prefer Twitter'
neutral,'Win an Apple iPod Touch from Mommygaga  get the Pampers Hello World Baby Memories App httptcoIwoujUh PampersHelloApps'
positive,'Cream on the inside  clean on the outside Ice Cream phone job Google'
neutral,'Got to do itRT ElderMLTillerJr I am cracking up at BishopWSThomas advertising for Twitter LOL'
neutral,'Android Google Samsung Galaxy Nexus release details still in short supply httptcosAYWT DhilipSiva'
neutral,'Bestbuy or Apple to purchase my imac  iPad  and printer StudentDiscounts'
negative,'Looks like Apple did not appropriately project the resources needed for Siri Not very reliable'
neutral,'Engadget following android galaxy nexus event google samsung ICS httptcovZxht'
neutral,'Microsoft CEO on Android You Have to Be a Computer Scientist to Use It  huffington post httptcoPDBvauM tech mobile'
irrelevant,'TypeBuilder be gone  Roslyn CTP is here Creating types without TypeBuilder httptcocilZFPB Roslyn Microsoft'
irrelevant,'Microsoft Security Essential gt httptcoQuqPibic Microsoft'
irrelevant,'Agora vou tentar dormi Game Over Twitter Facebook'
neutral,'In case you were curious like me IPhone S Which Apple iPhone is Best for Price  Features httptcodLonCzc Apple HealthIT EHR'
positive,'Thanks to Samsung and Google  Im now craving for some Ice Cream Sandwich   IceCreamSandwich Google Samsung'
neutral,'Rumor New screen sizes  specs coming to Windows Phones windowsphone microsoft httptcogOQgJvvb microsoft'
irrelevant,'Buenas noches  twitter friends Me despido q me voy a poner hacer mi tarea de acct  q flojera Pero no se me permite fail any classes '
neutral,'Put your twitter on autopilot and let it gain followers for you httptcohzeTqAl TeamFollowBack Twitter autopilot aday '
negative,'trishaps iCloud is Cloudy apple tech  not very techy'
neutral,'Can this ho Siri update your tweets cc apple iPhoneNews'
neutral,'RT Jackiebaaby s are  for twitter NOT facebook Duuuuhhh'
neutral,'Just because you follow me on twitter does NOT mean we cool As you can see I didnt follow yo thirsty ass back dummy  xD'
negative,'Microsoft  We put the backwards into backwards compatibility instantfollowback'
neutral,'Check out our podacst regarding Sugars Edge In Tems Of Database Structure httptcoQvDAwA Microsoft CRM'
irrelevant,'AsiaClassifiedToday Temasek to raise up to  million with bond offer  Straits Times Tele httptcoIaTjkb asia google biz'
neutral,'SteveJobs  Twitter overwhelmed by reaction to Apple founders death  Telegraph httptcotqFpjf'
neutral,'Microsoft Cloud Microsoft launches Virtual Academy in Kenya Microsoft East and Southern Africa launched  httptcoGllUQiTJ TCN'
negative,'I hate tron theme Google ICS'
irrelevant,'AsiaClassifiedToday Asia Stocks  Ringgit Gain on European Outlook  Bloomberg Asia Stocks  R httptcobiHKwSTW asia google biz'
neutral,'RT MonicaaC Damn tired  Need some rest Night twitter'
neutral,'goodtoknow privacy google httptcoYeYR'
neutral,'I wonder If the person who has apple is holding out for apple to buy it from them'
neutral,'ok it is back iphone apple'
negative,'Ok this Apple software update for the iphone is taking waaaaay too long'
irrelevant,'RT puntogeek Hace tiempo Segn Microsoft  Firefox es spyware httptcoUnFkqPaJ Firefox Microsoft'
irrelevant,'seit apple facebook und google die groen bsen sind  ist microsoft irgendwie wieder der sympathische nerdverein httptcoIUvizPT'
positive,'Mmm SmarterPhone RT Android Introducing Ice Cream Sandwich  the delicious new version of Android httptcoAXlKGs ICS google'
irrelevant,'hiarly iae meu brother  min siga ae no twitter  ta lembrado de min n '
neutral,'RT AppSense Simontownsend Microsoft tests and proves AppSense enterprise scalability K users on one personalization DB  http '
neutral,'Microsoft Changes The Yet Known Design of Windows Eight httptcoEGawrr'
irrelevant,'Grattis microsoft  Jag mste allts ta bort Helvetica om jag ska kra IE ocheller Outlook'
irrelevant,'Que mierda le pasa a FOTA que no me quiere traer IceCreamSandwich Google Android SamsungArg GalaxyS '
irrelevant,'me re cop con twitter'
negative,'From its laughable file google will encrypt search results BUT only if U have logged in so they can maximize their data collection'
neutral,'teggyboy oh wow lmao thank no wonder why no one answered me  addicted twitter'
irrelevant,'Entre al Twitter solo para desahogarme B'
neutral,' SOLAR  RhondaParsons  SOLarsister  A simpLe  symboL and AN underscore  This is twitter WHERE WE twEEt '
irrelevant,'deberia de ponerme a leer un libro en lugar de estar perdiendo el tiempo en fb y twitter '
irrelevant,'Cest quand mme une confrence  o on nattend pas h pour avoir une nouveaut google nexusprime'
irrelevant,'En full capacitacin de soportes en Microsoft Advertising  muy entretenida'
negative,'Every time I try the voice control on my iPod Touch to send an iMessage  it starts playing Who Knew by Pink  Still not Flawless Apple'
neutral,'Thank you  me too Looking forward to reviewing your book WarrenWhitlock twitter authors socialmedia'
irrelevant,'At the Microsoft imaginecup sri lanka in Peradeniya'
irrelevant,'RT RoodProjecten Leuk  ik ontving net een mooi boeket bloemen thuis van Microsoft  als dank voor mijn bijdrage en waardevolle input  '
neutral,'RT PacktEnterprise Book Published Microsoft SharePoint  Power User Cookbook httptcoAZqMpYP spmentor httptcovmOVkQ'
irrelevant,'RT microsoftfrance Cette anne encore  Microsoft remporte le prix du meilleur Service Client  httptcofMRdgs'
neutral,'search facebook for FACEBOOKTWITTER INDIE ARTIST MUSIC NETWORK WORLDWIDE'
neutral,'Apple fan Eric Holder spotted at the Genius Store httptcoFTLttLPn'
positive,'New Galaxy Nexus OS Hardware Improvements   Camera Zero Shutter Lag nexus samsung google android bitlynEJbyE'
neutral,'Club CALUMO was FUN  See the vidio CALUMO Blog Denali Microsoft SQLServer httptcoTHqSRBd via calumo'
neutral,'I hope apple will release an app for Siri for us nonapple s users apple iphone siri'
neutral,'I want Siri on my iPhone  apple'
positive,'rygurl you need an apple iphoneS with Siri'
negative,'ford should have teamed up with Apple instead of microsoft to make this SYNC system in my new focus '
irrelevant,'Possibilit de taguer les personnes google nexusprime'
negative,'Never purchasing another item from apple'
irrelevant,'Lucha de Titanes Las tres mejores alternativas a Google Earth httptcoXpVRHr Linux via gabrieljgomez'
irrelevant,'Estou com tanta d do windows phone CHUPA ESSA microsoft httptcojkGFNrr trem lindo de deus android '
irrelevant,'Job ICT Verkaufspezialist von Infrastrukturlsungen an Geschftskunden wm Microsoft Schweiz httptcoadmVcNg Microsoft IT'
neutral,'If MrAJohnson is up twitter is gona have some technical difficulties'
irrelevant,'De novo mais uma vez eu akie de madrugada falando sozinho no Twitter  S'
neutral,'RT NeowinFeed Google shows off new Ice Cream Sandwich features google android httptcoLlJpGMa neowin'
neutral,'The four American companies that have come to define stcentury on the verge of war Amazon Apple Facebook and GhttptcoPxUlrdw'
neutral,'uberSocial on blackberry crackberry is better than the actual twitter site Its wack on the iphone CoolStoryBro'
irrelevant,'Steve Ballmer haalt uit naar Android httptcojZWofwYc'
irrelevant,'estoy agradecido con Dios y con Microsoft por la oportunidad que me han dado de ser parte del grupo selecto de los msp Gracias Seor'
irrelevant,'el momento en el que me puedo desahogar  si efectividamente es en twitter'
positive,'Calling all marketing executives in houston  sign up for google training  httptcovoMrZ  I cant wait to be there for the week'
positive,'Apples Siri is witchcraft  Whats next googleresearch  yr lead lost'
neutral,'how do you sync gmail contacts with your iphone help please apple gmail'
positive,'I love our apple imac even though I havent seen my hubby in  days now geek'
neutral,'apple store NY'
neutral,'Ha The demo fail is still resonating Kinda funny  but on a global scale Cool feature  though android google galaxynexus'
positive,'iOS update submitted to apple Thanks for all the support'
neutral,'RT InternetBH Microsoft finalises Skype deal  IT Business  News  Features  httptcoFbRY httptcolzay skype Micr '
irrelevant,'De verdd qe si me he sentidoo rara estar un Dia sin mucho twitter B'
irrelevant,' google  facebook '
neutral,'google yahoo bing Ballmer on Bing  Xbox  Appleoh  and Yahoo  too httptcoCfHujBP seo serps'
neutral,'RT callmePinoc RT CrazyGolfer If you lose followers on Twitter dont worry even Jesus lost followers Unknown quote via smqueue'
neutral,'microsoft says android is too complex  Interesting  from a user angle contrast windows with macos for a comparisonhttpgooglWuZm'
positive,'Googles Nexus really i wanna it now Awesome'
neutral,'What Is Ice Cream Sandwich  httptcootArqi Google'
positive,'Maybe apple could use some of its billions to do some good in the worldoh wait  thats what microsoft does'
negative,'on hold for another half hour phone is ringing but no one is picking upapple you stink'
negative,'Pondering the iOS update From the sounds of MikeFerris difficulties  I may just hold off  Apple  FIX IT'
irrelevant,'RT SociosMicrosoft Director de Microsoft admite que fue afortunado el escape de la compra de Yahoo httptcoZXdLElI'
neutral,'gotta get back on my twitter grind'
irrelevant,'El live stream del server de IPN esta over capacity por SoytuFanmx no la caguen si no es twitter'
neutral,'Microsoft launching the OmniTouch  how funny I though that was an ALUEnterprise solution copyright httptcoExkVL via levenement'
neutral,'You need to ask Siri her favorite color and the average speed of an unladen swallow Seems Someone apple is a Monty python fan'
neutral,'Android Google Samsung Galaxy Nexus launching in US  Europe and Asia this November httptcoNLdTUoY DhilipSiva'
irrelevant,'Apple erneut im Fadenkreuz  Umweltverschmutzung Apple Zulieferer muss Produktion stoppen  httptcoaHKgrLY'
neutral,'RT OKadeState Paigemorse tweeted  Its official she is still alive Twitter'
irrelevant,'Ya el twitter como que me esta dejando de parecer divertido'
positive,'It would have taken me  mins to write this with my Blackberry Thank u Apple s for converting me and showing me the grass is greener'
neutral,'Windows  Roadmap  Windows  Roadmap M final   and   Beta at CES O Microsoft'
neutral,'Windows Phone firmware updates due next week to enable Internet Sharing httptcoyPFYEe microsoft windows'
irrelevant,'Official plush Portal turrets deploying this December httptcoMhOrkc mac microsoft pc playstation'
negative,'Retweets section of my twitter account has not been working for  hours Is Everyone else having this problem RT RTs'
irrelevant,'RT OliPalko RT ishpconsult Der langsame Tod von SEO Google Suche  fr eingeloggte User verschlsselt  httptcoSSdxjoWd'
negative,'Im gonna need Twitter to get all these problems fixed ASAP'
negative,'Reader Tronman compares SteveBallmer to an albatross around Microsofts neck  Do you agree  Join the discussion httptcoMnRvc'
positive,'Microsoft details Search improvements in Windows  Start Screen httptcofAztiaD'
irrelevant,'Facebook ah quedado en el olvido gracias a Twitter'
neutral,'Android Google Samsung Galaxy Nexus Coming Soon To Three UK httptcoFQbfdiYE DhilipSiva'
positive,'My iPhone S battery lasted longer than a day That hasnt happened since my edge iPhone Nice job  apple'
neutral,'Wow Apple sold  million iPhone S in a single weekend httptcoWDLHZsza'
irrelevant,'RT interfase Andy Rubin de Google devel oficialmente el Samsung GalaxyNexus  el er smartphone con Android Ice Cream Sandwich h '
irrelevant,'RT Leahjanell This Moment w Shyah  DianiGroves is brought to you by NBA Apple Riesling oh and httptcoDpXiDs'
irrelevant,'Google sorprende de nuevo httptcoGiLQLME basedenegocios business'
irrelevant,'Le Galaxy Nexus officialis Samsung Google GalaxyNexus Icecream  httptcoYTRWbgn via Julbut TweeqFr Thibaudd'
irrelevant,'Techno   Microsoft lanza sitio oficial de Skype httptcooQJbPS'
neutral,'TheZeroOfTime microsoft'
neutral,'apple AppStore ihelpline when r u going to provide the ability to password protect iPad email'
positive,'Once again getting great customer service from the apple store at millenia mall'
irrelevant,'Kan Apple de tekstaanvulling op iphone en ipad niet omdraaien eigenteksteerst weetapplehetaltijdbeter'
negative,'Yep its official  my tweets that get RTd arent showing me when they get RTd Dammit Twitter  sometimes its LoveHate thing we have'
negative,'Total chaos at apple store regent street Like an Ethiopian feeding station Cant believe this is same co that makes all that cool shit'
neutral,'twitter is like therapy for sum people say wat you feel  get alot off yo chest And dont care wat the next person say'
neutral,'Microsoft opens the spigot  Windows Phone Mango available to all microsoft windowsphone httptcoeLLmmyg'
neutral,'Good Night Twitter'
neutral,'All the info on Ice Cream Sandwich here  httptcofrNfGPA twandroid google nexusprime ics android'
irrelevant,'inexus Named as One of The Telegraphs Top   Free PR Site press release httptcoJAHoAa nexus one google'
irrelevant,'Ya Me voy Adios twitter por que esta muy Fome S'
irrelevant,'Use Caution When Sharing on Social Networks httptcoSXNoBASn via LarryMagid youth facebook google'
neutral,'Is there a way that I can post voice notes on twitter'
neutral,'Follow your interests twitter'
irrelevant,'aai galeraa do twitter abrao para queem ficaa'
irrelevant,' FacebookGoogle Apps httptcoPBiHog google googleapps'
irrelevant,'Se que en estos momentos transmiten soy tu fan  cortesa de twitter y de aNgEluSrO'
neutral,'Twitters Thinking About Paying People to Tweet  Technology  httptcozAhoU PayMe Twitter'
positive,'WP is getting there Microsoft Claws Back to Smartphone Relevance Rich Jaroslovsky  Bloomberg httptcoJIMMLRC via BloombergNews'
neutral,'Ballmer Feels Lucky Microsoft Didnt Buy Yahoo in   httptcomPZoilRs microsoft'
irrelevant,'         httptcoenpWtGb android  androidar  google samsung'
irrelevant,'troquei meu avatar do twitter rs'
irrelevant,'itiinhalais   EvelynJullyanne  segue de volta esse Twitter  a gente ta fundando a Pastoral da Juventude e precisamos de ajuda Segue bj'
irrelevant,'torbenleuschner die haben was an der Waffel ie microsoft wunschdenken'
irrelevant,'yahoo microsoft Noticias Steve Ballmer da gracias al cielo porque Microsoft no compr Yahoo en  httptcojhKabZB'
irrelevant,'Microsoft Please check out or site and join please httptcodRRoqZ we need more ppl maybe u can help'
neutral,'Android This Is the Samsung Galaxy Nexus  Googles New Official Android Phonevia Gizmodo  The httptcowSGSuk'
neutral,'who follows ppl then unfollows them  YourLameAsHell tryna make it seem like your somebody IMPORTANT its only TWITTER smh'
neutral,'iPhone S MP camera  Its a SONY httptcouYIZeAK sony apple apple iphoneS cameras'
neutral,'Google releases the latest version of Android   IceCreamSandwich httptcofByEe'
positive,'RT Logic Why I love Microsoft gt Microsoft hosting Kids TechFest to encourage careers in tech  httptcofmzFWgYv babygeeks  '
neutral,'SpeechTrans httptcoTWSzX on Apple App store listed as the best bidirectional Speech To Speech Translator  Posts on Twitter'
irrelevant,'RT JaylaStarr Sex Games httptcoqtmLHJn JaylaStarr JCannonDSD sex Twitter video'
neutral,'Siri is cool but more importantly handy and FUNNY Apple please configure it for Canada Whats with the racism  EH'
neutral,'GN Twitterzzzzzz Z  Z z z z'
neutral,'Leaving for smau  Ill be at the Microsoft stand as a trainer for the wpdev labs Meet me there'
irrelevant,'RT twandroid Galaxy Nexus annonc   nexusprime google httptcoIrMPjoiS'
irrelevant,'Puta No se por que traje los cuadernos para estudiar a la cama si sigo en twitter OhShit TT'
neutral,'Microsoft Stores offering a free Windows Phone with a  purchase httptconfpvegDK wp windowsphone wp mango msft'
irrelevant,'Rocksmith Rocksmith  Rocksmith httptcoJNSoEZN google youtube'
irrelevant,'RT MichaelKroker Krokers Look  IT Der AppleSchock im PCMarkt  mit unerwartetem Potenzial fr Microsoft gt httptcovCUgQz'
neutral,'Android Google Meet the Samsung Galaxy Nexus and Ice Cream Sandwich httptcoVWXzReW DhilipSiva'
neutral,'apple must be launching a searchengine  imminent surely AppleSearch AppleCore bigapple haha Please be the latter'
neutral,'GArepost RT whymicrosoft Are you making the move from GoogleApps to Microsoft gtgt Metalogix can migrate y httptcozZXpA'
neutral,'New Google Nexus gt httptcoqReijhw'
irrelevant,'RT DominicanDroids Cuando  grandes se unen  Samsung y Google Estas cosas son las que pasan GalaxyNexus'
neutral,'Android Google First Official Galaxy Nexus  Ice Cream Sandwich Promo Video With Feature Highlights httptcoLtrCVG DhilipSiva'
neutral,'Creating Pareto charts using Microsoft Excel httptcoBlPyCS'
negative,'twitter why must you be so difficult'
neutral,'Congratulations to Softline Pastel SageGroupZA for winning ISV of the Year at Microsoft partnersummit'
negative,'Internet Explorer  is the biggest pile of shit ever seriously Microsoft IE'
irrelevant,'ICS et Google une communaut  votre service '
neutral,'I love apple  I love my phone but ever since this damn update my texts keep saying theyre full when there are none  thats a PROBLEM'
irrelevant,'cagimo mire la ltima foto que monte al Twitter  ayude a su amigo a la coleccin D D D Indirecta'
positive,'RADSoftware Yes good points about ERP but unfair assessment in saying SAGE  SAP and Microsoft Dynamics  are not delivering'
neutral,'How to Create your own Google Maps httptcoyyNzSPJ google maps'
irrelevant,'       google  samsung android'
neutral,'twitter is great once you get the hang of itHaxxDubbz CBMonarch BranDay I told her to get one to be a cool kid lol'
irrelevant,'eo tenho a mania de entrar no TWITTER  i respondeeer as coisas ki mi mando kkkkkkkkkkkkk'
neutral,'Google confirms Nexus S will get IceCreamSandwich  for real this time Gingerbread devices  too httptcoRajAKP'
neutral,'Google Google Event Vorstellung des Samsung Galaxy Nexus Caschys Blog o klingelte mein Wecker Googles  httptcoQnVDVcMX'
